# train
run_dir,method,run_id,prompt_mode,created_at,checkpoint_path,decision_threshold,n,loss,cls_loss,accuracy,macro_f1,auroc,auprc,invalid_label_rate,balanced_accuracy,F1,mcc,precision,recall,tp,fp,fn,tn
reasoning_sft_20260219_225250,reasoning_sft,20260219_225250,reasoning,2026-02-20T13:57:33,tinker://c63cb939-1662-578f-9353-9cebd4bb9670:train:0/sampler_weights/reasoning_sft_20260219_225250_step_56_eval,0.1824,698,0.5789,0.5789,0.8324,0.8280,0.9259,0.8925,0.0000,0.8258,0.8007,0.6573,0.8275,0.7756,235,49,68,346

# val
run_dir,method,run_id,prompt_mode,created_at,checkpoint_path,decision_threshold,n,loss,cls_loss,accuracy,macro_f1,auroc,auprc,invalid_label_rate,balanced_accuracy,F1,mcc,precision,recall,tp,fp,fn,tn
reasoning_sft_20260219_225250,reasoning_sft,20260219_225250,reasoning,2026-02-20T14:02:09,tinker://c63cb939-1662-578f-9353-9cebd4bb9670:train:0/sampler_weights/reasoning_sft_20260219_225250_step_56_eval,0.1824,150,0.5712,0.5712,0.9000,0.8980,0.9276,0.8977,0.0000,0.8973,0.8837,0.7961,0.8906,0.8769,57,7,8,78

# test
run_dir,method,run_id,prompt_mode,created_at,checkpoint_path,decision_threshold,n,loss,cls_loss,accuracy,macro_f1,auroc,auprc,invalid_label_rate,balanced_accuracy,F1,mcc,precision,recall,tp,fp,fn,tn
reasoning_sft_20260219_225250,reasoning_sft,20260219_225250,reasoning,2026-02-20T14:06:43,tinker://c63cb939-1662-578f-9353-9cebd4bb9670:train:0/sampler_weights/reasoning_sft_20260219_225250_step_56_eval,0.1824,150,0.5688,0.5688,0.8800,0.8768,0.9448,0.9071,0.0000,0.8742,0.8571,0.7550,0.8852,0.8308,54,7,11,78

